RoverRecord Artist,RoverRecord Bent Genre
The Mills Brothers,Jazz
The Mills Brothers,R&B
The Mills Brothers,Vocal
The Miracle Voices,Religious
The Miracles,R&B
The Misfits (18),SodaPop
The Mistletoe Disco Band,Holiday
The Modern Lovers,PROTO
The Monkees,Stage & Screen
The Mono Men / Girl Trouble,Mini Garage
The Montanas (3),AtlantaVerse
The Moody Blues,British Invasion
The Moonglows,R&B
The Mothers,Antelope Valley
The Nails,SodaPop
The Nat King Cole Trio,Jazz
The Neville Brothers,R&B
The New Breed (12),Mini Garage
The New Colony Six,Mini Garage
The New Order,Metal
The New Orleans Ragtime Orchestra,Jazz
The New Pornographers,AtlantaVerse
The Nightrockers,Mini Garage
The No-No's,SodaPop
The Norman Petty Trio,Country
The Oak Ridge Boys,Country
The Offspring,Metal
The O'Jays,R&B
The O'Kanes,Country
The Okee Dokee Brothers,Childrens
The Original Gospel Harmonettes,Religious
The Ornette Coleman Double Quartet,Jazz
The Ornette Coleman Quartet,Jazz
The Osborne Brothers,Country
The Oscar Peterson Trio,Jazz
The Oscar Peterson Trio With Milt Jackson,Jazz
The Palms (3) And Lefty Bates And His Band,Blues
The Pharcyde,Rap/Hip-hop
The Pied Pipers With Paul Weston And His Orchestra,Vocal
The Pine Valley Cosmonauts,Country
The Plastic Ono Band,SingSong
The Platters,R&B
The Playboys (10),R&B
The Playmates With Joe Reisman And His Orchestra,R&B
The Poets (4),R&B
The Pogues,International
The Police,Ska/Punk/Reggae
The Pretenders,PROTO
The Pretenders,SodaPop
The Producers (6),AtlantaVerse
The Psychedelic Furs,PsychPaisley
The Raconteurs,PROTO
The Radiators,International
The Rascals/The Young Rascals,R&B
The Red Clay Strays,Country
The Replacements,PROTO
The Residents,PROTO
The Rip Chords,Billy
The Rivieras (2),R&B
The Robins,R&B
The Roches,Folk
The Rock*A*Teens,AtlantaVerse
The Rockbusters,SodaPop
The Rolling Stones,British Invasion
The Roots,Rap/Hip-hop
The Roy Meriwether Trio,Jazz
The Royal Grand Orchestra,Classical
The Royal Guardsmen,Mini Garage
The Rumble (6) Featuring Chief Joseph Boudreaux Jr,International
The Sabri Brothers,International
The Saints (2),Ska/Punk/Reggae
The Scientists (2),Ska/Punk/Reggae
The Screaming Abdabs,SodaPop
The Screaming Blue Messiahs,SodaPop
The Seatbelts,Stage & Screen
The Seekers,SodaPop
The Seldom Scene,Country
The Selecter,Ska/Punk/Reggae
The Sequence,Rap/Hip-hop
The Skatalites,Ska/Punk/Reggae
The Slits,Ska/Punk/Reggae
The Smile,SodaPop
The Smiths,PROTO
The Snakes,Mini Garage
The Son Seals Blues Band,Blues
The Sonics,Mini Garage
The Specials,Ska/Punk/Reggae
The Stanley Brothers,Billy
The Staple Singers,R&B
The Staple Singers,Religious
The Statler Brothers,Country
The Stills-Young Band,NYCSN
The Stooges,PROTO
The Stranglers,Ska/Punk/Reggae
The Strokes,SodaPop
The Sun Ra Arkestra,Jazz
The Sunshine Generation,Stage & Screen
The Supremes,R&B
The Supremes & Four Tops,R&B
The Swanee Quintet,Religious
The Sweet,GLAM
The Sweet Inspirations,R&B
The Swimming Pool Q's,AtlantaVerse
The Sylvers,R&B
The Teen Queens,R&B
The Temptations,R&B
The The,SodaPop
The Thelonious Monk Quartet,Jazz
The Three O'Clock,PsychPaisley
The Time,R&B
The Tokens,R&B
The Torero Band,International
The Tubes,SodaPop
The Turtles,Mini Garage
The Tymes,R&B
The V.S.O.P. Quintet,Jazz
The Vandals,Ska/Punk/Reggae
The Velvet Underground,PROTO
The Velvet Underground & Nico (3),PROTO
The Ventures,SodaPop
The Very Best,SodaPop
The Wailers,Ska/Punk/Reggae
The Waitresses,SodaPop
The Walker Brothers,British Invasion
The Wanted (2),Mini Garage
The Waterboys,SodaPop
"The Waverly Consort, Michael Jaffee",Holiday
The Weavers,Folk
The Whispers,R&B
The White Stripes,Mini Garage
The Who,British Invasion
The Wild Tchoupitoulas,International
The Wipeouters,PROTO
The Wiseguys,Electronic
The Woggles,AtlantaVerse
The Wood Brothers,Folk
The Yardbirds,British Invasion
The Young Rascals,Mini Garage
Thelonious Monk,Jazz
Thelonious Monk And Gerry Mulligan,Jazz
Thelonious Monk With John Coltrane,Jazz
Thelonious Monster,Ska/Punk/Reggae
Theola Kilgore,R&B
They Might Be Giants,PROTO
Thin Lizzy,Metal
Thomas Binkley,Classical
Three Dog Night,Vocal
Thundercat,R&B
Tiana,Rap/Hip-hop
"Tielman Susato And Thomas Morley, The Early Music Consort Of London & The Morley Consort Directed By David Munrow",Classical
Tim Lee,AtlantaVerse
Tim Weisberg,SodaPop
Timofej Dokschizer,International
Tin Machine,GLAM
Tina Charles,SodaPop
Tina Schouw & Various,Childrens
Tina Turner,R&B
"Tito Puente, Machito",International
Todd Rundgren,PROTO
Tom Glazer & Dottie Evans,Childrens
Tom Jones,Vocal
Tom Lehrer,Vocal
Tom Petty,Wilburys
Tom Petty And The Heartbreakers,Wilburys
Tom Waits,SingSong
Tom Waits And Crystal Gayle,SingSong
Tommy Dorsey And His Orchestra,Jazz
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman",Jazz
Tommy James & The Shondells,SodaPop
Tommy Roe,SodaPop
Tommy Sands,Vocal
Toni Waiman & The Cricketone Chorus & Orchestra,Childrens
Tony Bennett,Vocal
Tony Bennett & Count Basie,Vocal
Tony Bennett With Count Basie Orchestra,Vocal
Tony Monopoly,Stage & Screen
Tony Pastor And His Orchestra,Vocal
Tony! Toni! Ton�!,R&B
Tool,Metal
Tool (2),Metal
Topol,SodaPop
Tortoise,Electronic
Toumani Diabate,International
Toure Kunda,International
Tower Of Power,R&B
Townes Van Zandt,Country
Traffic,SodaPop
Trampled By Turtles,BoogerJam
Translator (3),SodaPop
Traveling Wilburys,Wilburys
Travis,SodaPop
Trini Lopez,Vocal
Trinity All Nations Combined Choir Directed By Larry Roberts (3),Religious
Trio,SodaPop
Trip Shakespeare,SodaPop
Truth (14),R&B
Tuồng Cải Lương Của Thành Công,International
Turbonegro,Metal
Twisted Sister,Metal
Two Without Hats,Rap/Hip-hop
Ty Segall,Mini Garage
Ty Segall & Freedom Band (3),Mini Garage
"Tyler, The Creator",Rap/Hip-hop
Tyrone Davis,R&B
U2,Super
UB40,Ska/Punk/Reggae
UK Subs,Ska/Punk/Reggae
Ultramagnetic MC's,Rap/Hip-hop
Umphrey's McGee,BoogerJam
United Sisters,International
University Of Florida Jazz Band,Jazz
Unknown Artist,Childrens
Unknown Artist,International
Unrest (2),SodaPop
Upchuck (2),AtlantaVerse
Ursula 1000,Electronic
USA For Africa,SodaPop
Ustad Asad Ali Khan,International
Ustad Nazakat Ali Khan & Ustad Salamat Ali Khan,International
Ustad Sultan Khan & Raghunath Seth,International
Ustad Zia Mohiuddin Dagar,International
Uwade Akhere,SingSong
Valjean,Stage & Screen
Van Cliburn,Classical
Van Dyke Parks,SingSong
Van Morrison,SingSong
Vanilla Fudge,PsychPaisley
Vanraj Bhatia,International
Various,AtlantaVerse
Various,Billy
Various,Blues
Various,BoogerJam
Various,British Invasion
Various,Cash-Carter Fam
Various,Childrens
Various,Classical
Various,Country
Various,Folk
Various,GLAM
Various,Holiday
Various,International
Various,Jazz
Various,Metal
Various,NYCSN
Various,PROTO
Various,R&B
Various,Rap/Hip-hop
Various,Religious
Various,SingSong
Various,Ska/Punk/Reggae
Various,SodaPop
Various,Sound/Spoken/Comedy
Various,Stage & Screen
Various,Vocal
Various,Wilburys
Vatsala Mehra,International
Vern Gosdin,Country
Vic Chesnutt,AtlantaVerse
Vic Chesnutt And Mr. And Mrs. Keneipp,AtlantaVerse
"Vic Chesnutt, Elf Power And The Amorphous Strums",AtlantaVerse
Vic Damone,Vocal
Victor Transistor,SodaPop
Victor Uwaifo,International
Viet Cong (2),SodaPop
Vijay Raghav Rao,International
Viktor Vaughn,Rap/Hip-hop
Vilayat Khan,International
"Vilayat Khan & Bismillah Khan, Shanta Prasad",International
Village People,GLAM
Vince Guaraldi Trio,Holiday
Vinegar Joe,BoogerJam
Violent Femmes,SodaPop
Vishni Mehrotra,International
Vivien Leigh,Stage & Screen
Vusi Mahlasela,International
W8ing4UFOs,AtlantaVerse
Wall Of Voodoo,SodaPop
Walter Brennan With The Johnny Mann Singers,Country
War,R&B
Ward Singers,Religious
Warren Zevon,SingSong
Wavves,SodaPop
Waxahatchee,SodaPop
Waylon Jennings,Country
Waylon Jennings & Willie Nelson,Country
Wayne Newton And The Newton Brothers,Country
Wayne Shorter,Jazz
Weather Report,Jazz
Wee Hairy Beasties,Childrens
Ween,SodaPop
Weezer,Mini Garage
Wendy Craig,Childrens
Wendy Oldfield,Childrens
Wendy Oldfield & Various,Childrens
Wes Montgomery,Jazz
Wet Leg,SodaPop
Wheel (10),Metal
White Zombie,Metal
Wilco,SodaPop
Wild Cherry,R&B
Will Fyffe,Sound/Spoken/Comedy
Willie Dixon,Billy
Willie Mitchell,Billy
Willie Nelson,Billy
Willie Nelson & Roger Miller,Country
"Willie Nelson, Wynton Marsalis",Billy
Willow Avalon,Country
Wilson Pickett,R&B
Windbreakers,AtlantaVerse
Wings (2),British Invasion
Wolfgang Amadeus Mozart,Classical
"Wolfgang Amadeus Mozart - Alfred Brendel, The Academy Of St. Martin-in-the-Fields, Sir Neville Marriner",Classical
Wolfgang Amadeus Mozart - Camerata Academica Salzburg ∙ Géza Anda,Classical
Wolfgang Amadeus Mozart - Géza Anda,Classical
"Wolfgang Amadeus Mozart - Géza Anda, Camerata Academica Salzburg",Classical
"Wolfgang Amadeus Mozart - Hermann Baumann, Concentus Musicus Wien",Classical
"Wolfgang Amadeus Mozart - Martha Argerich, Orchestra Mozart, Claudio Abbado",Classical
"Wolfgang Amadeus Mozart - Sergei Prokofiev / David Oistrach, Alceo Galliera, Philharmonia Orchestra",Classical
"Wolfgang Amadeus Mozart - Staatskapelle Berlin, Otmar Suitner",Classical
"Wolfgang Amadeus Mozart / Jean-Pierre Rampal, Robert Veyron-Lacroix",Classical
Wolfgang Amadeus Mozart – George Szell With Members Of Budapest String Quartet,Classical
"Wolfgang Amadeus Mozart, Bruno Walter, Columbia Symphony Orchestra",Classical
"Wolfgang Amadeus Mozart, Camerata Academica Salzburg, Géza Anda",Classical
"Wolfgang Amadeus Mozart, Camerata Labacensis, Mozart Festival Orchestra (2), Alexander von Pitamic, Alberto Lizzio",Classical
"Wolfgang Amadeus Mozart, Claude Monteux / Neil Black (3), The Academy Of St. Martin-in-the-Fields, Sir Neville Marriner",Classical
"Wolfgang Amadeus Mozart, Collegium Aureum",Classical
"Wolfgang Amadeus Mozart, Die Wiener Sängerknaben",Classical
"Wolfgang Amadeus Mozart, Felix Prohaska, Orchester Der Wiener Staatsoper",Classical
"Wolfgang Amadeus Mozart, Franzjosef Maier, Collegium Aureum",Classical
"Wolfgang Amadeus Mozart, Hungarian Chamber Orchestra, Hungarian Wind Ensemble",Classical
"Wolfgang Amadeus Mozart, Ludwig van Beethoven, Vladimir Ashkenazy, London Wind Soloists",Classical
"Wolfgang Amadeus Mozart, The Academy Of Ancient Music, Jaap Schröder, Christopher Hogwood",Classical
"Wolfgang Amadeus Mozart, The Philadelphia Orchestra, Eugene Ormandy",Classical
Woods (2),SodaPop
Woody Guthrie,PROTO
Woody Guthrie And Leadbelly,PROTO
Wrigglers,International
Wu-Tang Clan,Rap/Hip-hop
Wynn Stewart And The Tourists (2),Country
Wynton Marsalis,Jazz
Wynton Marsalis Septet,Jazz
"Wynton Marsalis, Joseph Haydn / Johann Nepomuk Hummel / Leopold Mozart, Raymond Leppard, National Philharmonic Orchestra",Jazz
X (5),Ska/Punk/Reggae
Xavier Cugat And His Orchestra,International
XIT (4),International
X-Ray Spex,Ska/Punk/Reggae
XTC,SodaPop
XTC As The Dukes Of Stratosphear,SodaPop
Yaeji,Electronic
Yazoo,SodaPop
Yeah Yeah Yeahs,Mini Garage
Yellow Days,SodaPop
Yellowman & Fathead,Ska/Punk/Reggae
Yes,PsychPaisley
Yo La Tengo,SodaPop
York Brothers,Country
Young Holt Unlimited,R&B
Youssou N'Dour,International
"Yo-Yo Ma, Stuart Duncan, Edgar Meyer, Chris Thile",Billy
Yumi Arai,International
Yussef Dayes,Jazz
Zach Bryan,SingSong
Zachary Richard,International
Zamajobe,International
Zapp,R&B
Zubeeda Khanum,International
ZZ Top,BoogerJam
