RoverRecord Artist,RoverRecord Bent Genre
"Etta James, The Maxwell Davis Orchestra",Blues
Eugene Chadbourne,SingSong
Eugene Chadbourne With Camper Van Beethoven,SingSong
Eugene McDaniels,R&B
Eugene Record,R&B
Eumir Deodato,International
Eva Cassidy,Jazz
Evelyn King,R&B
Everly Brothers,PROTO
Eydie Gorme,Vocal
Fabian (6),SodaPop
Faces (3),SodaPop
Fair Cloth Barnes And Rev. Janice Brown,Religious
Fairport Convention,Folk
Falco,SodaPop
Faron Young,Country
Farrell Morris,Jazz
Fats Domino,PROTO
Fats Waller,Jazz
Fats Waller & His Rhythm,Jazz
Fausto Papetti,Jazz
Faye Webster,SingSong
Fayyaz Ahmed Khan & Niaz Ahmed Khan,International
Fear (3),Ska/Punk/Reggae
Fela Kuti,International
Fela Kuti & Africa 70,International
Fela Kuti And The Africa 70,International
Felix Mendelssohn-Bartholdy - Philharmonic-Symphony Orchestra Of New York Conducted By Dimitri Mitropoulos,Classical
"Felix Mendelssohn-Bartholdy / Berliner Philharmoniker, Herbert von Karajan",Classical
"Felix Mendelssohn-Bartholdy, Sir Thomas Beecham, Royal Philharmonic Orchestra",Classical
Felix the Cat (2) And Peter Pan Orchestra And Chorus,Childrens
Fenton Robinson,Blues
Ferde Grof� / George Gershwin - Arthur Fiedler / Boston Pops Orchestra,Classical
Ferlin Husky,Country
Fetchin Bones,AtlantaVerse
Fine Young Cannibals,SodaPop
Fiona Apple,SingSong
Firefall,SodaPop
fIREHOSE,Ska/Punk/Reggae
Fishbone,Ska/Punk/Reggae
Flap (4),AtlantaVerse
Flat Duo Jets,AtlantaVerse
Flat Duo Jets,Billy
Flatt & Scruggs,Billy
Flatt & Scruggs With The Foggy Mountain Boys,Billy
Fleet Foxes,SodaPop
Fleetwood Mac,Super
Flip Wilson With Special Guest David Frost,Sound/Spoken/Comedy
Florence + The Machine,SodaPop
Florry (2),Billy
Floyd Cramer,Country
Floyd Cramer,Holiday
Fontella Bass & Bobby McClure With Oliver Sain's Orchestra / Oliver Sain,R&B
Foo Fighters,SodaPop
Four Tops,R&B
Foxy,R&B
Franco / Sam Mangwana Et Orchestre T.P.O.K. Jazz,International
Franco Et Orchestre T.P.O.K. Jazz,International
Frank Assunto 's The Dukes Of Dixieland,Jazz
Frank Barber Percussion Ensemble,Jazz
Frank Chacksfield & His Orchestra,Stage & Screen
Frank French (2) And Kevn Kinney,AtlantaVerse
Frank Froeba And His Boys,Jazz
Frank Hubbell (2) & The Village Stompers,Jazz
Frank Luther (2),Childrens
Frank Ocean,R&B
Frank Sinatra,Vocal
Frank Zappa,Antelope Valley
Frank Zappa & The Mothers,Antelope Valley
Frank Zappa / Captain Beefheart / The Mothers,Antelope Valley
"Frank Zappa, The Mothers",Antelope Valley
Frankie Laine,Vocal
Frankie Vaughan,Vocal
"Frans Br�ggen, Concentus Musicus Wien, Nikolaus Harnoncourt",Classical
"Frans Br�ggen, Georg Friedrich Händel",Classical
Frans Van Bergen,Classical
Franz Ferdinand,SodaPop
"Franz Schubert - David Oistrach, Frida Bauer",Classical
Franz Schubert / Ludwig van Beethoven : Berliner Philharmoniker · Herbert von Karajan,Classical
"Franz Schubert – Elly Ameling, Jörg Demus",Classical
"Franz Schubert, Rudolf Serkin",Classical
Fred Astaire,Stage & Screen
Fred Hughes,R&B
Fred Schneider & The Shake Society,PROTO
Freddie Hart,Country
Freddie Hubbard,Jazz
Freddy Fender (2),Billy
Freddy Fender (2),Holiday
